xflr5 v6.61

Plane name :, 3D-wing
Polar name :, T1-20.0 m/s-Panel-Inviscid
Freestream speed :, 20.0 m/s

    alpha,     Beta,   CL,      CDi,        CDv,        CD,         CY,         Cl,         Cm,         Cn,         Cni,        QInf,       XCP
   -5.000,     0.000,  -0.250303,   0.003751,   0.000000,   0.003751,   0.000000,   0.000000,   0.031837,   0.000000,   0.000000,   20.0000,    0.0196
   -4.000,     0.000,  -0.177600,   0.001886,   0.000000,   0.001886,   0.000000,   0.000000,   0.014617,   0.000000,   0.000000,   20.0000,    0.0123
   -3.000,     0.000,  -0.104744,   0.000654,   0.000000,   0.000654,   0.000000,   0.000000,  -0.002684,   0.000000,   0.000000,   20.0000,   -0.0052
   -2.000,     0.000,  -0.031791,   0.000060,   0.000000,   0.000060,   0.000000,   0.000000,  -0.020043,  -0.000000,  -0.000000,   20.0000,   -0.1034
   -1.000,     0.000,   0.041204,   0.000106,   0.000000,   0.000106,   0.000000,   0.000000,  -0.037440,  -0.000000,  -0.000000,   20.0000,    0.1464
    0.000,     0.000,   0.114184,   0.000794,   0.000000,   0.000794,   0.000000,  -0.000000,  -0.054853,  -0.000000,  -0.000000,   20.0000,    0.0769
    1.000,     0.000,   0.187095,   0.002122,   0.000000,   0.002122,   0.000000,  -0.000000,  -0.072262,   0.000000,   0.000000,   20.0000,    0.0615
    2.000,     0.000,   0.259880,   0.004087,   0.000000,   0.004087,   0.000000,  -0.000000,  -0.089645,   0.000000,   0.000000,   20.0000,    0.0548
    3.000,     0.000,   0.332484,   0.006683,   0.000000,   0.006683,   0.000000,  -0.000000,  -0.106981,   0.000000,   0.000000,   20.0000,    0.0510
    4.000,     0.000,   0.404852,   0.009905,   0.000000,   0.009905,   0.000000,  -0.000000,  -0.124248,   0.000000,   0.000000,   20.0000,    0.0485
    5.000,     0.000,   0.476928,   0.013743,   0.000000,   0.013743,   0.000000,  -0.000000,  -0.141426,   0.000000,   0.000000,   20.0000,    0.0468
    6.000,     0.000,   0.548660,   0.018186,   0.000000,   0.018186,   0.000000,  -0.000000,  -0.158494,   0.000000,   0.000000,   20.0000,    0.0454
    7.000,     0.000,   0.619994,   0.023222,   0.000000,   0.023222,   0.000000,  -0.000000,  -0.175432,   0.000000,   0.000000,   20.0000,    0.0444
    8.000,     0.000,   0.690876,   0.028836,   0.000000,   0.028836,   0.000000,  -0.000000,  -0.192217,   0.000000,   0.000000,   20.0000,    0.0435
    9.000,     0.000,   0.761255,   0.035012,   0.000000,   0.035012,   0.000000,  -0.000000,  -0.208831,   0.000000,   0.000000,   20.0000,    0.0428
   10.000,     0.000,   0.831080,   0.041732,   0.000000,   0.041732,   0.000000,  -0.000000,  -0.225252,   0.000000,   0.000000,   20.0000,    0.0422
   11.000,     0.000,   0.900301,   0.048976,   0.000000,   0.048976,   0.000000,  -0.000000,  -0.241461,   0.000000,   0.000000,   20.0000,    0.0416
   12.000,     0.000,   0.968870,   0.056723,   0.000000,   0.056723,   0.000000,  -0.000000,  -0.257438,   0.000000,   0.000000,   20.0000,    0.0410
   13.000,     0.000,   1.036739,   0.064950,   0.000000,   0.064950,   0.000000,  -0.000000,  -0.273163,   0.000000,   0.000000,   20.0000,    0.0405
   14.000,     0.000,   1.103861,   0.073633,   0.000000,   0.073633,   0.000000,  -0.000000,  -0.288618,   0.000000,   0.000000,   20.0000,    0.0401
   15.000,     0.000,   1.170193,   0.082746,   0.000000,   0.082746,   0.000000,  -0.000000,  -0.303783,   0.000000,   0.000000,   20.0000,    0.0396


