  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 15:31:01	  -5.000	  124.57	 1015.14	   23.87	  849.51	   1.191	  -82.92	  204.46	  238.48	  152.64	   69.71	   33.09	    5.34	  -16.38	  -23.38	  -16.70	  -27.45	  -44.42	  -46.08	  -43.94	  -41.57	  -32.61	  -34.37	  -26.46	  -19.08	  -10.11	   -7.13	   -7.02	   -3.05	   -5.68	   11.58	  -76.21	 -488.82	 -463.37	 -414.42	 -179.63	 -156.53	 -135.81	 -111.69	  -93.52	  -89.35	  -79.85	  -74.07	  -65.01	  -57.55	  -50.88	  -45.59	  -37.88	  -31.48	  -22.86	  -15.39	   -5.81	    1.10	   10.36	   11.58	  292.69	  292.12	  293.33	  262.21	  259.74	  292.02	  295.53	  300.42	  259.47	  291.26	  291.06	  261.14	  258.45	  293.30	  286.45	  297.44	  267.06	  264.04	  263.93	  260.23	  249.86	  231.86	  214.37	  208.61	  216.55	  241.82	  259.68	  268.40	  263.32	  267.98	  269.37	  259.04	  266.57	  268.33	  266.43	  268.08	  270.84	  265.73	  265.88	  265.85	  265.85	  265.41	  267.99	  270.14	  268.78	  267.33	  269.32	  263.56	    9.14	   11.02	   10.89	   10.03	   10.59	   12.51	   12.80	   11.51	   10.35	   11.03	   10.57	   10.86	    0.68	   -1.44	   -2.19	   -1.24
       2	 15:33:13	  -4.000	  125.47	 1015.15	   23.96	  850.29	   1.190	   -7.27	  212.69	  219.47	  127.48	   44.86	   11.49	  -10.88	  -36.53	  -40.26	  -28.72	  -40.84	  -56.11	  -53.87	  -50.04	  -50.92	  -40.92	  -42.64	  -32.80	  -25.47	  -16.90	  -14.58	  -15.11	  -11.25	  -14.15	   16.49	    0.15	 -468.99	 -326.84	 -231.48	 -178.74	 -146.31	 -120.28	  -92.96	  -74.46	  -72.13	  -65.17	  -61.53	  -53.95	  -47.77	  -42.22	  -37.81	  -30.98	  -25.22	  -16.90	   -9.85	   -0.41	    6.61	   16.17	   16.49	  292.65	  292.91	  293.44	  262.40	  259.70	  292.16	  295.84	  301.12	  259.65	  291.26	  290.83	  260.84	  258.55	  293.38	  286.49	  297.35	  267.00	  264.15	  264.39	  263.00	  262.27	  253.15	  238.32	  223.03	  219.47	  237.15	  254.84	  265.75	  262.67	  267.83	  269.36	  259.00	  266.92	  267.05	  266.83	  268.35	  271.15	  266.08	  266.29	  266.23	  266.18	  265.83	  268.22	  270.43	  269.07	  268.25	  268.70	  263.89	    9.12	   11.76	   11.62	   10.59	   11.04	   12.00	   13.72	   11.63	   10.46	   11.02	   10.58	   11.75	    0.70	   -1.45	   -2.20	   -1.24
       3	 15:33:54	  -3.000	  124.43	 1015.16	   23.99	  849.67	   1.190	   79.63	  212.77	  197.39	  100.96	   17.15	   -8.57	  -28.28	  -52.22	  -54.17	  -42.34	  -51.98	  -65.20	  -61.72	  -58.15	  -57.44	  -46.27	  -47.93	  -36.82	  -30.10	  -22.04	  -21.34	  -21.87	  -18.81	  -13.57	   15.80	   84.51	 -320.85	 -253.41	 -183.57	 -143.50	 -118.13	 -103.18	  -83.03	  -68.30	  -67.41	  -60.85	  -57.41	  -50.79	  -45.62	  -41.33	  -37.14	  -30.39	  -24.18	  -14.47	   -6.30	    3.39	   10.25	   19.60	   15.80	  294.39	  294.80	  295.10	  263.99	  261.32	  293.87	  297.53	  302.86	  261.18	  293.12	  292.53	  262.41	  260.19	  295.23	  288.20	  299.02	  268.87	  266.06	  265.81	  263.58	  257.75	  243.60	  232.45	  232.93	  239.90	  255.27	  265.60	  270.96	  265.16	  269.84	  271.16	  260.76	  266.82	  268.46	  266.67	  268.33	  271.66	  265.88	  266.04	  265.94	  265.95	  265.63	  267.81	  270.38	  268.80	  268.09	  268.43	  263.70	    9.42	   12.73	   12.56	   11.50	   11.89	   14.16	   14.73	   12.52	   10.94	   11.50	   11.00	   12.89	    1.55	   -1.45	   -2.23	   -1.31
       4	 15:34:55	  -2.000	  123.43	 1015.21	   24.03	  850.11	   1.190	  158.94	  202.14	  165.59	   66.19	  -10.55	  -29.55	  -47.72	  -67.97	  -68.61	  -54.33	  -64.57	  -74.29	  -70.13	  -65.61	  -63.03	  -51.03	  -52.81	  -42.12	  -37.26	  -29.13	  -30.73	  -31.67	  -27.45	   15.42	   15.73	  161.10	 -180.65	 -178.92	 -139.16	 -113.56	  -94.83	  -84.51	  -67.48	  -54.99	  -55.80	  -50.33	  -48.03	  -42.18	  -37.37	  -33.44	  -30.39	  -25.41	  -21.77	  -16.46	  -13.34	   -8.52	   -4.50	   10.90	   15.73	  290.17	  290.60	  291.17	  259.86	  257.43	  289.79	  293.12	  298.70	  257.10	  288.36	  288.10	  258.26	  255.82	  290.47	  283.84	  295.10	  264.49	  261.49	  262.21	  258.53	  253.49	  241.63	  233.89	  234.87	  238.72	  251.86	  261.32	  266.50	  260.83	  265.51	  266.96	  256.61	  263.65	  265.96	  263.42	  265.61	  268.21	  262.60	  262.59	  262.73	  262.77	  262.37	  264.62	  266.91	  265.42	  264.91	  265.02	  260.19	    8.31	   12.07	   11.80	   10.66	   10.94	   13.50	   13.66	   11.47	    9.93	   10.41	    9.87	   12.26	    0.06	   -1.44	   -2.20	   -1.36
       5	 15:35:25	  -1.000	  124.64	 1015.20	   24.05	  849.47	   1.190	  214.26	  183.85	  132.83	   33.55	  -36.49	  -53.33	  -68.38	  -84.38	  -83.63	  -67.00	  -75.81	  -83.69	  -78.42	  -71.77	  -67.84	  -56.24	  -57.72	  -48.22	  -43.82	  -37.73	  -39.00	  -41.41	    5.48	   27.55	   21.34	  220.01	  -62.67	 -111.55	  -96.38	  -85.02	  -73.68	  -66.43	  -52.19	  -41.61	  -44.09	  -39.93	  -38.57	  -33.72	  -29.81	  -26.42	  -23.88	  -19.08	  -15.39	   -9.87	   -6.36	   -1.63	   -0.65	    2.03	   21.34	  291.85	  292.27	  292.83	  261.49	  259.16	  291.50	  295.02	  300.50	  258.88	  290.36	  290.00	  259.75	  257.68	  292.48	  285.73	  296.70	  266.14	  262.85	  261.88	  253.19	  241.84	  235.06	  237.17	  245.44	  249.50	  259.20	  265.69	  268.86	  262.70	  267.36	  268.63	  258.18	  264.78	  265.82	  264.64	  266.94	  269.19	  263.92	  263.94	  263.78	  264.17	  263.57	  265.89	  268.15	  266.73	  265.94	  266.26	  261.40	    8.40	   12.54	   12.26	   11.02	   10.53	   13.70	   13.71	   11.50	   10.06	   10.48	    9.95	   12.77	    0.41	   -1.45	   -2.18	   -1.27
#      6	 15:36:40	  -1.000	  125.29	 1015.22	   24.10	  849.67	   1.190	  214.20	  183.71	  132.77	   33.75	  -37.83	  -54.13	  -69.30	  -85.53	  -85.28	  -68.16	  -77.11	  -85.02	  -79.44	  -72.93	  -69.22	  -57.39	  -58.59	  -48.92	  -44.68	  -37.03	  -39.25	  -42.17	    4.59	   27.04	   20.70	  219.67	  -64.27	 -113.29	  -97.69	  -86.03	  -74.78	  -67.55	  -53.18	  -42.61	  -45.02	  -40.89	  -39.49	  -34.78	  -30.70	  -27.24	  -24.75	  -19.95	  -16.21	  -10.70	   -7.14	   -2.43	   -1.44	    1.16	   20.70	  292.08	  292.48	  292.96	  261.73	  259.26	  291.64	  295.29	  300.54	  258.97	  290.44	  290.14	  260.10	  257.97	  292.64	  285.56	  296.84	  266.30	  263.20	  262.71	  256.77	  246.58	  237.37	  236.29	  242.10	  246.04	  256.43	  264.51	  268.67	  263.02	  267.34	  268.74	  258.45	  266.42	  266.70	  266.35	  268.56	  271.18	  265.68	  265.75	  265.58	  265.69	  265.17	  267.74	  269.98	  268.52	  267.82	  268.01	  263.24	    8.32	   12.42	   12.15	   10.95	   10.83	   13.51	   13.77	   11.56	   10.02	   10.40	    9.89	   12.66	    0.41	   -1.44	   -2.19	   -1.32
       7	 15:37:39	  -0.000	  125.62	 1015.22	   24.12	  849.80	   1.190	  251.41	  152.34	   87.34	   -7.18	  -69.93	  -81.66	  -91.96	 -105.13	 -102.40	  -83.58	  -89.96	  -99.13	  -89.80	  -82.44	  -78.03	  -65.30	  -66.52	  -59.31	  -55.12	  -48.25	  -49.54	  -24.12	   16.57	   26.23	   24.53	  255.24	   47.88	  -43.10	  -53.20	  -55.87	  -51.10	  -48.42	  -36.23	  -27.78	  -31.80	  -29.11	  -28.80	  -25.03	  -21.72	  -19.22	  -17.21	  -12.87	   -9.55	   -4.12	   -0.32	    4.92	    6.47	    9.33	   24.53	  296.01	  296.40	  296.98	  265.54	  262.97	  295.29	  299.30	  304.48	  262.81	  294.78	  294.06	  264.35	  262.00	  296.98	  289.71	  300.70	  270.60	  267.53	  265.54	  258.69	  250.10	  239.61	  237.82	  247.47	  252.90	  262.18	  268.83	  272.43	  267.51	  271.64	  272.83	  262.40	  268.92	  270.47	  269.13	  271.24	  274.12	  268.21	  268.36	  268.84	  268.26	  267.72	  270.34	  272.84	  271.18	  270.41	  270.69	  265.93	    8.15	   13.08	   12.87	   11.51	   11.44	   13.92	   12.67	   11.86	   10.03	   10.39	    9.90	   13.45	    0.57	   -1.43	   -2.18	   -1.39
       8	 15:38:36	   1.000	  124.05	 1015.21	   24.15	  849.97	   1.190	  253.54	   98.90	   26.69	  -58.78	 -110.72	 -112.60	 -117.84	 -127.64	 -123.08	 -100.09	 -105.84	 -113.81	 -103.92	  -94.03	  -88.24	  -76.16	  -78.04	  -72.18	  -68.60	  -62.15	  -63.82	   -9.26	   13.27	   16.65	   16.70	  256.27	  143.28	   26.82	   -5.03	  -21.39	  -23.58	  -25.12	  -16.83	  -10.39	  -16.19	  -14.78	  -15.72	  -13.00	  -10.54	   -8.49	   -7.26	   -3.30	   -0.42	    5.13	    9.09	   14.54	   16.21	   19.12	   16.70	  292.61	  292.87	  293.42	  262.09	  259.60	  291.89	  295.65	  300.92	  259.43	  290.87	  290.57	  260.91	  258.53	  292.84	  286.00	  297.39	  266.82	  263.38	  258.22	  239.35	  224.97	  227.93	  242.41	  257.95	  261.56	  266.54	  268.29	  269.27	  264.00	  267.94	  269.28	  258.90	  265.39	  267.12	  265.44	  267.66	  270.07	  264.65	  264.04	  265.30	  264.76	  264.17	  266.65	  268.85	  267.46	  266.72	  266.94	  262.03	    7.12	   13.08	   12.78	   11.21	   10.99	   13.84	   14.00	   10.99	    9.24	    9.39	    8.82	   13.71	    0.06	   -1.44	   -2.18	   -1.28
       9	 15:39:28	   2.000	  123.45	 1015.21	   24.18	  849.51	   1.189	  240.27	   41.99	  -32.44	 -102.34	 -142.60	 -138.08	 -138.59	 -147.13	 -137.23	 -113.70	 -117.79	 -122.93	 -112.18	 -101.13	  -95.50	  -82.71	  -86.87	  -81.61	  -78.73	  -74.02	  -28.80	   -0.60	    9.46	   13.88	   21.48	  242.88	  200.42	   78.23	   29.85	    3.96	   -3.11	   -7.21	   -2.27	    2.28	   -5.01	   -4.88	   -6.92	   -4.98	   -3.68	   -2.55	   -2.22	    0.78	    2.76	    7.56	   11.07	   16.58	   18.98	   22.85	   21.48	  289.95	  290.27	  290.55	  259.70	  257.03	  289.34	  292.90	  298.42	  256.62	  288.18	  287.98	  258.21	  255.57	  290.07	  283.34	  294.64	  264.15	  261.40	  261.66	  251.62	  232.92	  222.55	  230.19	  246.20	  253.75	  262.39	  265.74	  266.59	  261.55	  265.32	  266.70	  256.24	  263.18	  265.54	  263.20	  265.23	  267.62	  262.35	  261.37	  263.04	  262.42	  261.97	  264.35	  266.66	  264.94	  264.51	  264.60	  259.67	    6.94	   13.50	   13.19	   11.62	   11.50	   14.24	   14.80	   11.54	    9.19	    9.30	    8.80	   14.27	   -0.19	   -1.43	   -2.22	   -1.39
      10	 15:40:11	   3.000	  121.45	 1015.21	   24.21	  849.62	   1.189	  187.91	  -25.15	  -94.16	 -147.58	 -174.19	 -164.22	 -159.54	 -163.67	 -151.14	 -125.18	 -126.94	 -131.50	 -119.80	 -107.41	 -102.41	  -93.14	  -96.25	  -91.74	  -89.71	  -49.98	  -11.81	   -4.46	    5.84	   12.78	   25.02	  189.88	  234.57	  120.74	   62.06	   28.28	   15.92	    9.32	   12.16	   15.12	    6.48	    5.36	    2.27	    3.40	    3.79	    3.99	    3.59	    5.74	    6.92	   10.87	   13.64	   18.70	   21.01	   25.46	   25.02	  286.84	  287.30	  287.51	  256.67	  254.08	  286.46	  289.79	  295.08	  253.38	  285.05	  284.84	  255.16	  252.43	  286.96	  280.44	  291.69	  261.23	  258.34	  259.23	  257.29	  258.93	  259.25	  253.92	  236.91	  219.14	  224.36	  240.34	  254.22	  256.03	  262.06	  263.84	  252.86	  260.06	  262.05	  260.02	  261.95	  264.57	  259.29	  258.18	  259.98	  259.22	  258.78	  261.26	  263.70	  261.78	  261.37	  261.40	  256.27	    6.88	   13.77	   13.49	   11.81	   11.59	   13.64	   15.14	   11.37	    9.24	    9.29	    8.81	   14.58	    0.25	   -1.44	   -2.20	   -1.41
