  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	      Fx	      Fy	      Fz	     rpm	     Rho
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	       N	       N	       N	   1/min	  kg/m^3
       1	 16:32:08	  -5.000	  124.11	 1015.74	   24.34	   0.316	  -3.587	  -0.062	   850.0	   1.189
       2	 16:32:32	  -4.000	  126.69	 1015.74	   24.39	   0.244	  -2.325	  -0.044	   850.1	   1.189
       3	 16:32:46	  -3.000	  127.02	 1015.76	   24.41	   0.198	  -1.355	  -0.031	   850.0	   1.189
       4	 16:32:58	  -2.000	  126.24	 1015.76	   24.42	   0.197	  -0.392	  -0.019	   849.7	   1.189
       5	 16:33:10	  -1.000	  126.17	 1015.76	   24.44	   0.203	   0.612	  -0.012	   849.9	   1.189
       6	 16:33:45	   0.000	  125.65	 1015.76	   24.46	   0.219	   1.792	  -0.007	   849.9	   1.189
       7	 16:34:11	   1.000	  126.75	 1015.74	   24.48	   0.235	   3.393	   0.005	   849.9	   1.189
       8	 16:34:27	   2.000	  125.62	 1015.76	   24.49	   0.282	   4.649	   0.008	   849.6	   1.189
       9	 16:34:52	   3.000	  125.84	 1015.77	   24.50	   0.335	   5.787	   0.015	   850.1	   1.189
      10	 16:35:07	   4.000	  125.14	 1015.75	   24.52	   0.392	   6.884	   0.011	   849.8	   1.189
      11	 16:35:22	   5.000	  123.77	 1015.74	   24.54	   0.456	   8.030	   0.003	   849.8	   1.189
      12	 16:35:35	   6.000	  124.54	 1015.74	   24.55	   0.539	   9.302	  -0.002	   849.9	   1.189
      13	 16:35:51	   7.000	  124.63	 1015.75	   24.55	   0.634	  10.504	  -0.014	   849.9	   1.189
      14	 16:36:04	   8.000	  124.03	 1015.73	   24.56	   0.735	  11.526	  -0.022	   850.1	   1.189
      15	 16:36:18	   9.000	  125.80	 1015.74	   24.57	   0.868	  12.828	  -0.039	   849.9	   1.189
      16	 16:36:32	  10.000	  123.70	 1015.73	   24.57	   0.994	  13.701	  -0.059	   849.5	   1.189
      17	 16:36:47	  11.000	  125.03	 1015.74	   24.57	   1.139	  14.468	  -0.086	   850.0	   1.189
      18	 16:37:06	  11.250	  125.48	 1015.73	   24.59	   1.194	  14.757	  -0.091	   849.9	   1.188
      19	 16:37:23	  11.500	  124.12	 1015.75	   24.60	   1.227	  14.807	  -0.096	   849.5	   1.188
      20	 16:37:35	  11.750	  124.01	 1015.74	   24.60	   1.262	  14.938	  -0.100	   850.2	   1.188
      21	 16:37:53	  12.000	  124.47	 1015.74	   24.62	   1.299	  15.024	  -0.108	   850.1	   1.188
      22	 16:38:08	  12.250	  125.81	 1015.73	   24.64	   1.339	  15.225	  -0.115	   850.2	   1.188
      23	 16:38:18	  12.500	  125.88	 1015.72	   24.63	   1.375	  15.290	  -0.121	   849.4	   1.188
      24	 16:39:05	  12.750	  123.44	 1015.73	   24.65	   1.422	  15.412	  -0.129	   850.2	   1.188
      25	 16:39:18	  13.000	  123.31	 1015.73	   24.65	   1.444	  15.317	  -0.136	   850.0	   1.188
      26	 16:39:29	  13.250	  123.87	 1015.72	   24.66	   1.500	  15.515	  -0.142	   849.8	   1.188
      27	 16:39:43	  13.500	  125.57	 1015.71	   24.67	   1.563	  15.729	  -0.150	   849.7	   1.188
      28	 16:39:58	  13.750	  124.43	 1015.73	   24.67	   1.576	  15.464	  -0.150	   850.0	   1.188
      29	 16:40:08	  14.000	  123.60	 1015.71	   24.68	   1.634	  15.391	  -0.157	   849.8	   1.188
      30	 16:40:19	  14.250	  124.14	 1015.71	   24.69	   1.695	  15.274	  -0.160	   850.1	   1.188
